"Name","Character","Model","CameraModel","GadgetModel","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","HappyAnim","HappyLoopAnim","SadAnim","SadLoopAnim","HeroScreenIdleAnim","HeroScreenAnim","HeroScreenLoopAnim","SignatureAnim","HappyEnterAnim","SadEnterAnim","ProfileAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","GadgetActiveAnim","GadgetRecoilAnim","IdleFace","WalkFace","HappyFace","HappyLoopFace","SadFace","SadLoopFace","HeroScreenIdleFace","HeroScreenFace","HeroScreenLoopFace","SignatureFace","ProfileFace","HappyEffect","SadEffect","PetInSameSprite","AttackLocksAttackAngle","UltiLocksAttackAngle","MainAttackProjectile","UltiProjectile","MainAttackEffect","UltiAttackEffect","UseBlueTextureInMenus","MainAttackUseEffect","UltiUseEffect","UltiEndEffect","MeleeHitEffect","SpawnEffect","UltiLoopEffect","UltiLoopEffect2","AreaEffect","AreaEffectStarPower","SpawnedItem","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","BoneEffect1","BoneEffect2","BoneEffect3","BoneEffect4","BoneEffectUse","AutoAttackProjectile","ProjectileForShockyStarPower","IncendiaryStarPowerAreaEffect","MoveEffect","StillEffect","ChargedShotEffect","DisableHeadRotation"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","boolean","boolean","string","string","string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean"
"BanditGirlDefault","ShotgunGirl","shelly_geo.scw","shelly_base_cam.scw",,"ShellyIdle","ShellyWalk","ShellyPrimary","ShellySecondary","ShellyRecoil",,"ShellyRecoil",,"ShellyReload","ShellyPushback","ShellyWin","ShellyWinloop","ShellyLose","ShellyLoseloop","ShellyIdle","ShellyWin","ShellyWinloop","ShellyWin","ShellyIdle","ShellyIdle","ShellyProfile",,,,,,,,,,,,,,,,,,,,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GunSlingerDefault","Gunslinger","colt_geo.scw","colt_base_cam.scw",,"GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","GunslingerWin","GunslingerWinloop","GunslingerLose","GunslingerLoseloop","GunslingerIdle","GunslingerWin","GunslingerWinloop","GunslingerWin","GunslingerIdle","GunslingerIdle","GunslingerProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GunSlingerRockstar","Gunslinger","colt_rockstar_geo.scw","colt_base_cam.scw",,"GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","GunslingerWin","GunslingerWinloop","GunslingerLose","GunslingerLoseloop","GunslingerIdle","GunslingerWin","GunslingerWinloop","GunslingerWin","GunslingerIdle","GunslingerIdle","GunslingerProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BullGuyDefault","BullDude","bull_geo.scw","bull_base_cam.scw",,"BullRockIdle","BullRockWalk","BullRockPrimary","BullRockSecondary","BullRockRecoil",,"BullRockRecoil",,"BullRockReload","BullRockPushback","BullRockWin","BullRockWinloop","BullRockLose","BullRockLoseloop","BullRockIdle","BullRockWin","BullRockWinloop","BullRockWin","BullRockIdle","BullRockIdle","BullRockProfile",,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlDefault","RocketGirl","brock_geo.scw","brock_base_cam.scw",,"BrockIdle","BrockWalk","BrockPrimary","BrockSecondary","BrockRecoil",,"BrockRecoil2",,"BrockIdle","BrockPushback","BrockWin","BrockWinloop","BrockLose","BrockLoseloop","BrockIdle","BrockWin","BrockWinloop","BrockWin","BrockIdle","BrockIdle","BrockProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlBeach","RocketGirl","brock_beach_geo.scw","brock_base_cam.scw",,"BrockIdle","BrockWalk","BrockPrimary","BrockSecondary","BrockRecoil",,"BrockRecoil2",,"BrockIdle","BrockPushback","BrockWin","BrockWinloop","BrockLose","BrockLoseloop","BrockIdle","BrockWin","BrockWinloop","BrockWin","BrockIdle","BrockIdle","BrockProfile",,,,,,,,,,,,,,,,,,,,,,"Brock004Projectile","Brock004UltiProjectile","beach_brock_def_atk","beach_brock_def_ulti",,,,,,,,,,,,,,,,,,,,,,,,,,"BurnMainAttackWater",,,,
"TntGuyDefault","TntDude","dynamike_geo.scw","dynamike_base_cam.scw",,"TntguyIdle","TntguyWalk","TntguyPrimary","TntguySecondary","TntguyRecoil",,"TntguyUlti",,"TntguyReload","TntguyPushback","TntguyWin","TntguyWinloop","TntguyLose","TntguyLoseloop","TntguyIdle","TntguyWin","TntguyWinloop","TntguyWin","TntguyIdle","TntguyIdle","TntguyProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LuchadorDefault","Luchador","primo_geo.scw","primo_portrait.scw",,"LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LouchadorWin","LouchadorWinloop","LouchadorLose","LouchadorLoseloop","LouchadorIdle","LouchadorWin","LouchadorWinloop","LouchadorWin","LouchadorIdle","LouchadorIdle","LouchadorProfile",,,,"LouchadorGadgetFlipPrimary","LouchadorGadgetFlipRecoil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TurretDefault","MechanicTurret","turret_jessie_geo.scw","portrait_cam.scw",,"Turret","Turret","Turret","Turret","TurretAttack",,"Turret",,"Turret","TurretIdle","TurretSpawn","TurretIdle",,"TurretIdle","Turret","TurretSpawn","TurretIdle",,"TurretIdle","TurretIdle","Turret",,,,,,,,,,,,,,,,,,,,,,"Barley002Projectile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
